sourceCode;sourceName;sourceFrequency;matchScore;mappingStatus;targetConceptId;targetConceptName;targetVocabularyId;targetDomainId;targetStandardConcept;targetChildCount;targetParentCount;targetConceptClassId;targetConceptCode;targetValidStartDate;targetValidEndDate;targetInvalidReason
1;sheep;107;1.0;APPROVED;4051827;Ovis aries;SNOMED;Observation;S;0;1;Organism;125099002;20020131;20991231;
2;moderate;2198;1.0;APPROVED;45877983;Moderate;LOINC;Meas Value;S;0;0;Answer;LA6751-7;19700101;20991231;
15;salesperson;51;0.71;APPROVED;4012060;Salesman;SNOMED;Observation;S;0;1;Social Context;159611007;20020131;20991231;
5;education sector;140;0.72;APPROVED;4146801;Education profession;SNOMED;Observation;S;5;1;Social Context;307972006;20020131;20991231;
87;mining_geology;2;0.27;APPROVED;4025376;Mining engineer;SNOMED;Observation;S;4;1;Social Context;106267001;20020131;20991231;
2;chicken;22;1.0;APPROVED;3053366;Chicken;SNOMED;Observation;S;0;1;Organism;2022008;20020131;20991231;
45;assistant;10;0.77;APPROVED;4009550;Personal assistant;SNOMED;Observation;S;0;1;Social Context;158881006;20020131;20991231;
32;economist;16;1.0;APPROVED;4024160;Economist;SNOMED;Observation;S;3;2;Social Context;106301000;20020131;20991231;
7;medical staff;121;0.57;APPROVED;4145395;Public health officer;SNOMED;Observation;S;0;1;Social Context;307969004;20020131;20991231;
10;fish;1;1.0;APPROVED;42539493;Fish;SNOMED;Observation;S;10;1;Substance;735971005;20180131;20991231;
10;public service;76;1.0;APPROVED;4213565;Public relations officer;SNOMED;Observation;S;0;2;Social Context;39255004;20020131;20991231;
11;donkey;4;1.0;APPROVED;42596036;Donkey;SNOMED;Observation;S;0;1;Organism;3,0751E+13;20020131;20991231;
8;laborer;114;1.0;APPROVED;4026886;Laborer;SNOMED;Observation;S;5;1;Social Context;106540006;20020131;20991231;
12;pigeon;2;1.0;APPROVED;40345910;Pigeon;SNOMED;Observation;S;3;1;Organism;260198005;20070131;20991231;
21;construction sector;36;0.79;APPROVED;4023808;Construction worker;SNOMED;Observation;S;30;2;Social Context;106524008;20020131;20991231;
13;bird;2;1.0;APPROVED;4302848;Bird;SNOMED;Observation;S;25;1;Organism;387972009;20030131;20991231;
11;technician;73;1.0;APPROVED;4024738;Engineering technician;SNOMED;Observation;S;5;2;Social Context;106278009;20020131;20991231;
46;freight forwarder;8;0.7;APPROVED;4011293;Freight clerk;SNOMED;Observation;S;0;1;Social Context;159533003;20020131;20991231;
88;development worker;2;0.84;APPROVED;44803991;Community development worker;SNOMED;Observation;S;0;1;Qualifier Value;7,18571E+14;20101001;20991231;
22;agent;35;0.93;APPROVED;4010804;Site agent;SNOMED;Observation;S;0;1;Social Context;159342006;20020131;20991231;
33;police officer;15;1.0;APPROVED;4031180;Policeman;SNOMED;Observation;S;3;1;Social Context;14406004;20020131;20991231;
1;cac_1000;21;0.19;FLAGGED;4042853;Catalytic activity;SNOMED;Observation;S;0;1;Qualifier Value;118523000;20020131;20991231;
97;economic operator;1;0.63;APPROVED;4024160;Economist;SNOMED;Observation;S;3;2;Social Context;106301000;20020131;20991231;
68;sociologist_social scientist;4;0.53;APPROVED;4219056;Sociologist;SNOMED;Observation;S;0;1;Social Context;824004;20020131;20991231;
9;duck;1;1.0;APPROVED;42065133;Duck;OSM;Geography;S;0;1;8th level;177285;19700101;20991231;
12;engineer;61;1.0;APPROVED;4023457;Engineer;SNOMED;Observation;S;25;1;Social Context;106269003;20020131;20991231;
89;audiovisual;2;0.83;APPROVED;4010145;Audiovisual aids operator;SNOMED;Observation;S;0;1;Social Context;159103001;20020131;20991231;
9;transportation;85;1.0;APPROVED;4202166;Transport occupation;SNOMED;Observation;S;7;1;Social Context;308384000;20020131;20991231;
17;agriculture;48;0.79;APPROVED;4023490;Farmer;SNOMED;Observation;S;3;1;Social Context;106388008;20020131;20991231;
1;perfalgan;64;0.74;APPROVED;43834892;Aspirin 10 MG/ML [Perfalgan];RxNorm Extension;Drug;S;4;2;Branded Drug Comp;OMOP905314;20170824;20991231;
1;pcr;13403;1.0;APPROVED;40482792;Quantitative PCR analysis;SNOMED;Procedure;S;0;1;Procedure;443686007;20100131;20991231;
34;laboratory worker;14;0.79;APPROVED;4010785;Laboratory technician;SNOMED;Observation;S;10;1;Social Context;159282002;20020131;20991231;
2;moderate;43;1.0;APPROVED;45877983;Moderate;LOINC;Meas Value;S;0;0;Answer;LA6751-7;19700101;20991231;
26;electronics;25;0.84;APPROVED;4097082;Electronics engineer (general);SNOMED;Observation;S;0;1;Social Context;26465001;20020131;20991231;
2;serology;3;0.77;APPROVED;4246053;Blood test;SNOMED;Measurement;S;27;1;Procedure;396550006;20030731;20991231;
3;severe;142;1.0;APPROVED;45883536;Severe;LOINC;Meas Value;S;0;0;Answer;LA6750-9;19700101;20991231;
1;alive;13354;1.0;APPROVED;4230556;Alive;SNOMED;Observation;S;0;1;Clinical Finding;438949009;20090131;20991231;
